COG cat  Mesoplasma florum;COG cat Mesoplasma_coleopterae;COG cat Mesoplasma_chauliocola;Entomoplasma_maelaleucae;Entomoplasma_solminux
L;L;L;L;L
L;L;L;L;L
D;D;I;J;D
J;J;D;J;J
J;J;J;V;J
L;V;J;V;J
L;V;L;L;L
G;L;L;L;F
G;L;D;J;L
K;K;S;E;G
G;G;K;J;K
G;GK;G;O;G
GK;G;G;V;H
J;G;G;G;O
E;L;G;P;S
J;J;GK;P;S
O;S;G;S;U
G;E;K;J;U
G;J;G;J;P
E;O;J;N;P
P;V;G;G;U
P;G;S;E;H
N;N;J;P;F
S;L;O;P;G
J;S;G;C;F
J;G;P;C;S
G;E;P;G;V
K;P;S;C;F
G;P;J;HI;V
G;N;J;C;S
S;S;G;H;J
J;J;E;G;J
C;J;P;S;P
H;G;N;S;L
C;K;K;J;L
C;G;G;C;E
C;G;K;H;U
C;F;G;C;S
C;S;G;C;F
F;S;G;C;S
E;J;K;C;V
C;C;G;C;S
L;H;G;F;C
L;C;S;E;U
O;C;J;C;U
K;C;C;L;P
C;C;H;L;H
S;C;C;L;F
S;F;C;L;J
L;E;C;S;S
U;S;C;S;K
H;C;C;S;GT
T;L;F;L;G
F;L;E;S;G
M;K;C;U;G
C;C;L;L;J
M;S;L;L;Q
K;S;K;H;D
K;L;S;T;F
U;S;L;F;F
V;U;S;M;S
E;L;U;C;E
E;L;L;M;E
E;H;L;K;I
;T;H;K;J
F;F;T;U;S
F;M;F;V;J
F;C;M;E;E
J;M;C;E;E
S;K;M;E;S
J;K;K;;E
L;U;K;F;S
J;V;U;F;F
J;E;V;F;H
L;E;E;J;V
S;E;E;J;V
J;;E;J;L
J;F;;L;J
J;F;F;J;S
K;F;F;J;K
O;J;F;L;F
;S;J;S;V
P;J;J;J;V
P;S;J;J;G
EP;J;L;J;F
P;L;J;U;F
E;J;J;K;J
I;J;L;O;G
D;L;S;;S
L;S;J;P;F
K;J;J;P;J
H;J;J;EP;J
P;J;U;P;
G;U;K;E;J
E;K;O;I;K
F;O;;D;
;;P;L;I
C;P;P;K;J
C;P;EP;H;J
C;EP;P;P;J
C;P;E;G;J
F;E;D;E;V
C;I;L;F;E
F;D;K;;
C;L;H;C;E
O;K;P;C;V
V;H;G;C;V
F;P;E;C;S
G;G;F;F;J
F;E;;C;V
J;F;C;F;
J;;C;C;J
J;C;C;O;J
J;C;C;G;J
J;C;F;F;J
J;C;C;J;J
J;F;F;J;J
J;C;C;J;J
J;F;O;J;J
J;C;F;J;J
J;O;G;J;J
J;F;F;J;J
J;G;J;J;J
J;F;J;J;J
J;J;J;J;J
J;J;J;J;J
J;J;J;J;J
J;J;J;J;J
J;J;J;J;J
J;J;J;J;J
U;J;J;J;J
F;J;J;J;U
F;J;J;J;K
E;J;J;J;H
J;J;J;J;GT
J;J;J;U;F
J;J;J;F;E
J;J;J;F;G
K;J;J;E;G
J;J;J;J;K
P;J;J;J;J
P;J;J;J;J
P;J;U;J;J
J;J;F;K;J
V;U;F;J;K
V;F;E;P;J
L;F;J;P;P
H;E;J;P;P
J;J;J;J;P
C;J;J;V;J
F;J;K;L;V
P;J;J;H;J
S;K;P;J;J
F;J;P;J;V
K;P;P;C;J
S;P;J;P;
IQ;P;V;F;S
F;J;L;S;E
G;V;H;F;P
S;V;J;F;P
J;L;J;G;IQ
O;H;C;L;P
K;J;P;S;S
H;J;F;K;S
GT;C;S;G;J
V;P;F;L;H
V;F;K;;J
V;KLT;S;S;J
P;P;IQ;U;D
G;S;F;S;H
J;F;G;V;L
J;K;S;;L
J;S;J;L;L
F;IQ;O;;L
L;F;K;V;L
F;G;H;;G
F;S;GT;C;F
S;J;V;J;G
I;O;V;S;
L;K;V;G;
;H;P;H;S
L;GT;G;C;I
L;V;J;E;J
S;V;J;;L
S;V;J;;F
J;C;J;FG;J
J;P;F;S;T
F;G;L;L;KLT
V;J;F;J;S
P;J;J;O;G
J;J;F;H;H
T;J;S;S;J
KLT;F;I;S;S
S;L;L;D;S
G;F;;P;I
H;J;L;P;J
;F;L;P;D
J;S;S;P;P
S;I;S;D;P
S;L;J;J;P
I;;J;I;P
J;L;G;S;M
D;O;V;S;D
P;L;P;J;S
P;S;J;;S
P;S;T;H;H
D;J;KLT;G;P
S;J;S;S;J
S;G;G;KLT;G
H;V;H;T;S
O;P;;J;U
J;J;J;P;U
S;T;S;V;U
FG;KLT;S;G;U
;S;I;;D
;G;J;J;C
E;H;D;J;FG
C;;P;S;
H;J;P;S;
K;S;P;L;E
C;S;P;O;C
G;I;D;;H
S;J;S;L;K
J;D;S;I;C
C;P;H;S;G
;P;V;F;J
V;P;O;J;S
V;P;J;F;J
S;D;L;L;C
J;S;S;F;V
S;S;FG;J;
L;H;;J;J
J;V;;J;J
K;O;E;J;S
S;J;C;G;J
S;L;H;V;K
L;S;K;V;J
S;FG;C;V;
U;;G;GT;D
F;;S;H;D
G;E;J;O;U
KT;C;C;J;U
K;H;;;U
;K;V;L;U
H;C;V;V;U
J;G;S;S;U
J;V;S;J;U
;S;J;S;U
I;J;S;L;S
M;C;L;J;V
L;;J;L;V
C;V;L;K;V
J;S;K;S;J
K;S;S;S;MU
J;J;S;L;J
J;S;L;S;S
S;L;S;U;F
L;J;U;F;I
J;L;F;L;F
S;K;G;KT;H
F;S;KT;;I
L;S;K;H;
L;L;;H;J
L;S;H;Q;E
L;U;J;J;I
K;F;H;H;L
G;KT;J;J;C
G;K;;;C
L;;I;I;G
S;H;M;M;G
G;J;L;L;G
G;H;C;C;C
S;J;K;J;S
L;;G;K;J
;I;G;K;K
I;M;J;J;K
L;L;K;J;J
J;C;K;L;J
L;J;J;O;J
L;K;J;J;J
K;K;V;S;H
L;J;V;F;S
H;J;O;L;J
I;L;V;L;
J;S;S;L;GT
F;;;L;K
S;O;L;S;GT
G;J;J;S;J
S;F;L;L;E
S;S;S;I;M
;L;L;L;F
J;L;L;J;J
P;;L;L;S
D;L;L;L;H
;L;L;K;E
IQ;S;L;L;F
J;K;L;H;S
;S;S;I;H
J;S;;Q;L
;L;L;J;F
L;;K;S;E
J;I;L;G;H
J;S;I;S;G
E;L;L;S;L
H;J;J;;L
F;L;L;;
M;L;L;J;L
S;K;K;P;G
S;L;L;D;
E;H;H;;G
J;;I;;P
;I;J;;G
H;Q;F;J;S
I;J;F;;S
S;F;G;S;E
J;F;G;J;C
MU;G;G;J;J
J;S;K;;L
D;G;S;L;L
;S;G;J;
J;S;S;J;S
K;;S;E;G
J;J;;H;S
S;P;J;J;G
J;D;P;F;S
J;;D;M;I
;;;E;K
V;;;J;Q
S;IQ;;;P
L;J;IQ;I;H
O;;J;H;L
D;J;;I;K
;J;J;F;L
J;;J;S;L
L;L;;J;L
;J;L;MU;H
J;S;J;J;
S;J;S;S;
O;E;J;D;L
O;H;E;D;J
O;J;H;;S
K;F;J;J;J
O;M;F;K;V
F;S;M;J;P
L;S;S;S;D
L;E;;J;
V;J;E;J;
K;;J;;
G;I;K;V;
G;H;L;L;J
I;I;S;O;J
L;F;V;D;KT
G;S;I;;F
G;J;H;J;U
K;MU;I;P;S
E;J;F;J;L
J;S;J;L;S
J;D;MU;V;S
J;D;J;;K
S;;S;J;L
J;J;D;O;J
V;K;D;O;L
;J;;O;S
K;S;J;K;J
L;J;K;O;V
;J;J;F;S
V;;S;V;L
F;V;J;V;O
J;;J;I;D
I;S;;L;
F;L;V;O;J
F;O;L;J;S
T;D;O;J;J
;;D;J;L
I;J;;S;
;P;J;K;J
J;J;J;;S
I;L;L;V;O
L;;V;G;O
J;J;;;O
;S;J;F;K
J;O;S;J;O
U;O;O;I;
J;O;O;F;H
S;K;O;G;S
S;O;K;V;
K;F;O;F;S
J;L;F;T;
S;L;L;I;J
S;V;L;;V
;V;V;J;V
J;I;V;I;LU
;L;V;L;L
J;S;K;J;L
J;J;I;;S
O;L;S;J;J
P;S;V;U;J
G;V;E;J;J
G;V;O;S;J
G;E;J;S;J
K;O;J;K;U
G;J;J;J;S
S;J;L;S;S
;J;L;S;L
;V;V;;S
P;K;G;J;D
P;;K;J;L
E;EP;;J;
S;K;G;O;L
G;;S;S;I
G;K;H;P;S
G;L;S;G;F
K;;L;S;
G;S;L;G;
H;V;F;;
S;F;J;P;C
;J;I;P;
;I;F;E;K
L;F;T;S;F
G;F;;G;J
G;T;J;H;D
F;L;I;S;D
F;I;L;;
F;J;J;;
;I;;L;
J;L;J;F;J
V;J;U;F;J
V;;J;F;F
LU;J;S;;L
L;U;S;V;
L;J;K;V;S
S;S;J;L;V
J;S;S;S;
J;K;S;J;J
J;J;;J;J
J;S;J;J;E
;S;L;J;O
C;;J;;J
;J;J;C;J
K;J;O;;J
F;J;S;K;
J;O;P;F;H
D;S;G;J;K
D;P;S;D;L
;G;G;D;D
;G;;;F
;G;;;F
J;K;P;;F
J;U;P;J;E
F;K;E;J;P
G;G;S;F;EP
;S;G;G;P
J;G;G;;P
;;G;J;
S;P;K;J;O
G;P;G;;F
L;E;G;J;K
S;S;G;S;J
M;G;H;G;L
J;G;S;L;GT
S;G;;S;K
U;K;;M;J
P;G;L;J;J
P;H;G;S;J
;S;G;;G
;;F;;G
F;;F;F;G
G;L;F;G;S
L;G;;L;U
L;G;J;L;G
L;F;V;L;G
L;F;V;L;S
L;F;LU;L;G
H;;L;H;G
;J;L;;J
J;V;S;J;H
J;V;J;J;F
H;LU;J;H;S
J;L;J;J;C
S;L;J;S;F
S;S;;S;C
P;J;C;P;C
IQ;J;;IQ;C
C;J;K;;C
K;J;F;C;C
K;;F;K;H
;C;J;K;C
V;S;D;;H
J;S;D;J;H
J;J;;J;G
Q;;;Q;F
E;V;;E;F
S;K;J;S;J
J;F;J;J;I
J;F;F;J;F
;J;;;T
;D;J;J;
J;D;J;S;J
S;;;J;I
G;;J;J;L
GK;;S;J;J
G;J;G;J;
K;J;L;I;O
G;F;S;L;S
J;G;M;;P
J;;J;K;G
J;J;S;J;S
J;J;;;G
K;;;J;G
J;J;F;J;S
;S;G;F;K
J;G;L;S;P
F;L;L;G;P
S;S;L;J;E
G;M;L;G;G
J;J;L;K;G
G;S;H;F;G
K;;;K;K
H;;J;S;S
G;F;J;J;S
G;G;H;U;L
V;L;J;C;I
V;L;S;L;O
S;L;S;F;S
F;L;P;S;L
J;L;IQ;J;L
U;H;S;S;H
C;;C;J;S
L;J;K;I;G
GM;J;K;E;V
F;H;;F;F
J;J;V;U;P
I;S;J;U;C
F;S;J;S;J
U;P;Q;S;J
U;IQ;E;L;J
S;;S;D;L
S;C;J;O;GM
L;K;J;D;E
D;K;G;S;S
O;;;L;
D;J;J;F;J
S;J;S;L;S
L;Q;G;L;G
F;E;C;S;L
L;S;U;P;S
L;S;S;FJ;M
FJ;J;F;S;J
S;J;G;U;S
J;;S;J;S
J;J;T;J;K
J;S;P;;J
J;G;G;;F
S;GK;K;;J
J;G;G;;P
;K;J;;G
V;G;J;;L
F;J;J;;J
O;J;J;;J
S;J;I;;U
S;J;K;;K
L;I;J;;K
J;K;J;;M
P;J;J;;C
J;;F;;M
O;J;S;;F
L;J;G;;T
V;F;J;;H
S;G;G;;L
H;J;V;;L
K;G;V;;U
K;V;S;;L
G;V;G;;F
;S;GT;;C
J;F;K;;F
S;K;F;;C
D;S;K;;F
P;J;S;;C
U;U;J;;C
S;C;U;;C
G;L;C;;C
J;F;L;;
S;S;GM;;F
I;J;FL;;S
J;S;F;;
F;J;J;;E
K;I;S;;G
E;E;J;;P
S;F;I;;U
L;U;E;;K
U;U;S;;K
G;S;F;;
P;S;U;;U
L;L;U;;J
O;D;S;;J
Q;O;L;;L
F;D;D;;
I;S;G;;J
S;L;P;;J
J;F;G;;K
V;L;G;;U
S;L;O;;J
S;Q;D;;K
U;FJ;S;;J
J;S;L;;J
H;U;F;;L
;J;L;;S
;J;L;;V
;;Q;;L
;;Q;;J
;;FJ;;J
;;S;;L
;;U;;J
;;J;;V
;;E;;
;;V;;V
;;P;;
;;G;;J
;;O;;J
;;F;;S
;;;;G
;;P;;F
;;G;;V
;;;;O
;;S;;O
;;J;;D
;;;;S
;;;;L
;;;;F
;;;;L
;;;;L
;;;;FJ
;;;;S
;;;;U
;;;;J
;;;;J
;;;;L
;;;;L
;;;;D
;;;;J
;;;;J
;;;;J
;;;;L
;;;;F
